id,timestamp_utc,symbol,session,killzone,setup_grade,direction,confidence_pct,entry_price,stop_loss,take_profit_1,take_profit_2,risk_distance_usd,account_balance,risk_pct,lot_size,outcome,exit_price,exit_time_utc,realized_r,realized_pnl_usd,max_favorable_usd,max_adverse_usd,confluence_factors,technical_thesis,notes
TRD-6C00D598,2026-09-01 05:51:36,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-1CD5BF80,2026-09-01 05:46:43,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-9462CB37,2026-09-01 05:46:14,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-F2C9DB25,2026-09-01 05:45:24,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-95717E98,2026-09-01 05:40:58,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-02E0D4A8,2026-09-01 05:40:26,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-4B5EE9DB,2026-09-01 05:35:03,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-15E71D51,2026-09-01 05:35:03,XAU_USD,ASIA,NONE,GRADE_B,BULLISH_LONG,65,4430.72,4425.87,4440.42,4461.7,4.85,99547.9779,1.0,2.05,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian Low at $4423.70. • M5 structure shift with target entry at $4430.72. • Trading in alignment with Session VWAP and healthy ADR capacity (36% used).,Bullish structure confirmed during ASIA NONE. Purged sell-side liquidity before printing M5 displacement.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-2C71D4F1,2026-09-01 05:34:33,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-9A6830E6,2026-09-01 05:30:38,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-D2FE6028,2026-09-01 05:26:28,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-450C485F,2026-09-01 05:24:54,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-2ABA88CB,2026-09-01 05:23:55,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-4392A411,2026-09-01 05:20:39,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-966930D3,2026-09-01 04:47:32,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-E5F06BCC,2026-08-27 11:49:32,XAU_USD,LONDON,NONE,GRADE_B,BULLISH_LONG,65,4593.65,4593.4,4595.65,4643.21,1.5,99538.1607,1.0,6.64,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian Low at $4593.70. • M5 structure shift with target entry at $4593.65. • Trading in alignment with Session VWAP and healthy ADR capacity (73% used).,Bullish structure confirmed during LONDON NONE. Purged sell-side liquidity before printing M5 displacement.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-C28AE45E,2026-08-27 02:05:57,XAU_USD,ASIA,ASIA_OPEN,GRADE_B,BULLISH_LONG,65,4611.59,4600.33,4634.11,4627.24,11.26,99538.1607,1.0,0.88,OPEN,,,0.0,0.0,0.0,0.0,Target trigger level: $4611.59. • Current price: $4639.69 (within valid expansion corridor). • Structural invalidation safe at $4600.33.,Pending BULLISH_LONG structure is intact. Standing by for optimal entry pricing.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-3CAD386C,2026-08-27 01:04:56,XAU_USD,ASIA,ASIA_OPEN,GRADE_B,BULLISH_LONG,65,4611.59,4600.33,4634.11,4627.24,11.26,99208.0114,1.0,0.88,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian Low at $4600.63. • M5 structure shift with target entry at $4611.59. • Trading in alignment with Session VWAP and healthy ADR capacity (61% used).,Bullish structure confirmed during ASIA ASIA_OPEN. Purged sell-side liquidity before printing M5 displacement.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-B9D9586A,2026-08-27 00:00:57,XAU_USD,ASIA,ASIA_OPEN,GRADE_B,BULLISH_LONG,65,4613.11,4606.7,4625.93,4670.83,6.41,99685.5665,1.0,1.56,OPEN,,,0.0,0.0,0.0,0.0,Target trigger level: $4613.11. • Current price: $4624.81 (within valid expansion corridor). • Structural invalidation safe at $4606.70.,Pending BULLISH_LONG structure is intact. Standing by for optimal entry pricing.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-20796AD1,2026-08-26 21:06:56,XAU_USD,CLOSED,NONE,GRADE_B,BULLISH_LONG,65,4604.16,4624.41,4606.16,4670.83,20.25,99685.5665,1.0,0.49,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian Low at $4624.71. • M5 structure shift with target entry at $4604.16. • Trading in alignment with Session VWAP and healthy ADR capacity (61% used).,Bullish structure confirmed during CLOSED NONE. Purged sell-side liquidity before printing M5 displacement.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-0E97BA62,2026-08-26 19:31:56,XAU_USD,NEW_YORK,NY_CLOSE,GRADE_B,BULLISH_LONG,65,4596.1,4590.94,4606.42,4670.83,5.16,99905.4898,1.0,1.94,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian Low at $4624.71. • M5 structure shift with target entry at $4596.10. • Trading in alignment with Session VWAP and healthy ADR capacity (61% used).,Bullish structure confirmed during NEW_YORK NY_CLOSE. Purged sell-side liquidity before printing M5 displacement.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-401C6EEF,2026-08-26 17:35:57,XAU_USD,NEW_YORK,NONE,GRADE_B,BULLISH_LONG,65,4598.86,4592.16,4612.26,4670.83,6.7,99894.6619,1.0,1.49,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian Low at $4624.71. • M5 structure shift with target entry at $4598.86. • Trading in alignment with Session VWAP and healthy ADR capacity (61% used).,Bullish structure confirmed during NEW_YORK NONE. Purged sell-side liquidity before printing M5 displacement.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-97E9A34F,2026-08-26 15:54:57,XAU_USD,NEW_YORK,NONE,GRADE_B,BULLISH_LONG,65,4596.89,4624.41,4598.89,4670.83,27.52,99894.6619,1.0,0.36,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian Low at $4624.71. • M5 structure shift with target entry at $4596.89. • Trading in alignment with Session VWAP and healthy ADR capacity (61% used).,Bullish structure confirmed during NEW_YORK NONE. Purged sell-side liquidity before printing M5 displacement.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-D0D37737,2026-08-26 13:35:56,XAU_USD,NEW_YORK,NY_OPEN,GRADE_B,BULLISH_LONG,65,4612.84,4624.41,4614.84,4670.83,11.57,99894.6619,1.0,0.86,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian Low at $4624.71. • M5 structure shift with target entry at $4612.84. • Trading in alignment with Session VWAP and healthy ADR capacity (61% used).,Bullish structure confirmed during NEW_YORK NY_OPEN. Purged sell-side liquidity before printing M5 displacement.,Auto-Executed to OANDA Practice Acc (20 units).
TRD-393BADC7,2026-08-26 12:39:20,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-50D499A9,2026-08-26 05:31:41,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-192568A7,2026-08-26 05:25:01,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-D83BE40E,2026-08-26 05:08:24,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-A3D324B2,2026-08-26 05:08:19,XAU_USD,ASIA,NONE,GRADE_B,BEARISH_SHORT,65,4644.35,4648.01,4637.03,4629.61,3.66,100020.3616,1.0,2.73,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian High at $4670.83. • M5 structure shift with target entry at $4644.35. • Trading in alignment below Session VWAP and healthy ADR capacity (74% used).,Bearish structure confirmed during ASIA NONE. Purged buy-side liquidity before printing M5 breakdown.,Auto-Executed to OANDA Practice Acc (-20 units).
TRD-7FF1B5D7,2026-08-26 04:18:11,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-F2B30C85,2026-08-26 04:12:13,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-B4E07F27,2026-08-26 04:12:11,XAU_USD,ASIA,NONE,GRADE_B,BEARISH_SHORT,65,4644.48,4649.02,4635.4,4629.61,4.54,99999.7435,1.0,2.2,OPEN,,,0.0,0.0,0.0,0.0,Session liquidity dynamic: Asian High at $4670.83. • M5 structure shift with target entry at $4644.48. • Trading in alignment below Session VWAP and healthy ADR capacity (79% used).,Bearish structure confirmed during ASIA NONE. Purged buy-side liquidity before printing M5 breakdown.,Auto-Executed to OANDA Practice Acc (-20 units).
TRD-1812743B,2026-08-26 03:33:12,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-D1DB07A2,2026-08-26 03:32:49,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
TRD-999E027B,2026-08-26 02:35:00,XAU_USD,ASIA,ASIA_OPEN,GRADE_B,BULLISH_LONG,65,4661.85,4655.1,4675.35,4664.06,6.75,10000.0,1.0,0.15,TP2_HIT,4664.06,02:40 UTC,0.33,33.0,8.98,0.0,Bullish M5 CHoCH above 647.18 + Macro VWAP + Deep 65% FVG Retest,Secondary Asian expansion into previous session high.,Zero drawdown entry (bash.00 MAE).
TRD-B92AE44B,2026-08-26 01:30:00,XAU_USD,ASIA,ASIA_OPEN,GRADE_B,BULLISH_LONG,65,4642.2,4634.67,4657.26,4657.95,7.53,10000.0,1.0,0.13,TP2_HIT,4657.95,01:55 UTC,2.09,209.0,18.81,2.8,Bullish M5 CHoCH above 639.17 + Macro VWAP/200 EMA + Deep 65% FVG Retest,Asian Open liquidity expansion with clean 65% FVG mitigation.,Executed at deep FVG CE 642.20 with minimal heat.
TRD-8CC5A332,2026-08-26 03:29:20,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
